domain,page_id,surface,current_state,current_evidence,target_sprint,release_gate,p2_owner_sprint,p2_target_route,p2_disposition,p2_evidence
Platform,api-platform,API & Developer,foundation_partial,13 Supabase Edge Function entrypoints,12,api_contract+tenant+rate_limit+observability,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#api-platform
Platform,release-engineering,Release Engineering,foundation_partial,Vercel and Supabase deployment workflow,1,canary+rollback+receipts,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#release-engineering
Platform,quality-engineering,Quality Engineering,foundation_partial,repository test suites and validators,1,unit+integration+authenticated_e2e,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#quality-engineering
Platform,data-platform,Data Platform,foundation_partial,Supabase Postgres; 202 migrations,1,RLS+backup+data_contract+observability,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#data-platform
Platform,ai-automation,AI & Automation,foundation_partial,interpret-upload and reviewed AI outputs,8,draft_only+human_approval+evidence,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#ai-automation
Platform,bcdr,Business Continuity,prototype_only,No certified BCDR surface or evidence found,13,restore_test+RTO_RPO+independent_review,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#bcdr
Platform,finops,FinOps & Capacity,prototype_only,No first-class FinOps control surface found,7,measured_cost+budgets+alerts,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#finops
Platform,service-management,Service Management,prototype_only,No first-class service management surface found,1,ownership+SLO+incident_handoff,P2-S4,provider-service.html,shared_surface,P2-S4 maps service-management to provider-service.html under the approved Platform55 shell migration design
Platform,customer-success,Customer Success,foundation_partial,customer-rfi and shipper records,5,tenant+auth+no_auto_commitment,P2-S4,shipper-crm.html,shared_surface,P2-S4 maps customer-success to shipper-crm.html under the approved Platform55 shell migration design
Platform,product-feedback,Product & Roadmap,prototype_only,No first-class product-feedback surface found,1,reviewed_backlog+no_auto_promotion,P2-S5,growth-hacking.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#product-feedback
Platform,saas-billing,SaaS Billing,prototype_only,No tenant SaaS billing implementation found,7,MARKSMAN_boundary+human_approval,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#saas-billing
Platform,vendor-risk,Vendor Risk,live_partial,vendor-improvement.html; vendor-support.html,5,reviewed_risk+no_auto_block,P2-S4,vendor-improvement.html,shared_surface,P2-S4 maps vendor-risk to vendor-improvement.html under the approved Platform55 shell migration design
Platform,compliance,Compliance & Controls,foundation_partial,Action Contract; approval and audit controls,9,evidence+SoD+independent_review,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#compliance
Platform,enterprise-risk,Enterprise Risk,prototype_only,No enterprise-risk product surface found,9,reviewed_risk+expiry+receipt,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#enterprise-risk
Platform,privacy,Privacy & Data Rights,prototype_only,No privacy request center found,9,tenant+legal_review+auditable_egress,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#privacy
Platform,legal-contracts,Legal & Contracts,prototype_only,No legal-contract lifecycle surface found,9,human_approval+immutable_version,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#legal-contracts
Platform,communications,Communications,foundation_partial,Gmail; Google Chat; WhatsApp connectors,5,draft_only+explicit_send_authorization,P2-S4,provider-communications.html,shared_surface,P2-S4 maps communications to provider-communications.html under the approved Platform55 shell migration design
Platform,workflow-approvals,Workflow & Decisions,foundation_partial,Action Contract; staging review; Bid Room gates,9,human_approval+SoD+receipt,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#workflow-approvals
Platform,master-data,Master Data & Identity,foundation_partial,catalog workbench; organizations; workspace registry,9,canonical_identity+dedupe+tenant,P2-S5,catalog-workbench.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#master-data
Platform,document-evidence,Documents & Evidence,live_partial,raw_uploads private storage and source preservation,3,private_storage+lineage+retention,P2-S2,upload-history.html,shared_surface,P2-S2 maps document-evidence to upload-history.html under the approved Platform55 shell migration design
Platform,knowledge-retrieval,Knowledge & Retrieval,foundation_partial,interpretation-memory.html; memory service,8,tenant+source_citation+no_material_action,P2-S5,interpretation-memory.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#knowledge-retrieval
Platform,data-import,Imports & Migration,live_partial,Upload Center; catalog sync; staging pipeline,3,dry_run+staging_only+rollback,P2-S2,upload-center.html,shared_surface,P2-S2 maps data-import to upload-center.html under the approved Platform55 shell migration design
Platform,geospatial,Geospatial & Routing,foundation_partial,business-intelligence geo capability,8,source_quality+tenant+no_dispatch,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#geospatial
Platform,scheduling,Scheduling & Time,foundation_partial,Banxico cron; limited scheduled jobs,6,idempotency+timezone+receipts,P2-S3,rfx-process.html,shared_surface,P2-S3 maps scheduling to rfx-process.html under the approved Platform55 shell migration design
Platform,predictive-time,ETA & Forecasting,prototype_only,No governed ETA runtime found,8,explainability+no_execution_authority,P2-S5,business-intelligence.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#predictive-time
Platform,optimization,Optimization Engine,prototype_only,No governed optimization runtime found,8,proposal_only+human_decision,P2-S5,business-intelligence.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#optimization
Platform,rules-engine,Rules & Formula Engine,foundation_partial,rate filters; catalog normalization; validation rules,9,versioned_rules+simulation+approval,P2-S5,interpretation-memory.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#rules-engine
Platform,configuration-registry,Configuration Registry,foundation_partial,settings and managed environment configuration,9,secret_reference_only+version+approval,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#configuration-registry
Platform,runtime-jobs,Runtime Jobs & Batch,foundation_partial,Edge Functions and cron exist without a unified job center,10,idempotency+leases+receipts+tenant,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#runtime-jobs
Platform,service-catalog,Service Catalog & Ownership,foundation_partial,Action Contract inventory of governed surfaces,10,owner+dependency_graph+SLO,P2-S5,catalog-workbench.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#service-catalog
Platform,architecture-rfc,Architecture Decisions & RFCs,foundation_partial,repository docs without a first-class RFC center,10,versioned_decision+review,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#architecture-rfc
Platform,enterprise-identity,Enterprise Identity & Access Lifecycle,foundation_partial,Phase 0.2 identity bridge and runtime shadow enforcement,10,required_gate+session_lifecycle+SoD,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#enterprise-identity
Platform,secrets-overview,"Secrets, Keys & Credential Lifecycle",foundation_partial,Supabase managed secrets; no lifecycle UI,10,never_render_secret+rotation+receipt,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#secrets-overview
Platform,feature-flags,Feature Flags & Experiments,foundation_partial,RATEWARE_TENANT_ENFORCEMENT is a single managed rollout mode,10,entitlement_separation+cohort+kill_switch,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#feature-flags
Platform,implementation,Implementation & Go-Live,foundation_partial,Phase 0.2E evidence gate is a narrow implementation gate,10,PLAN_PREPARE_VALIDATE_PILOT_CUTOVER_STABILIZE,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#implementation
Platform,integration-runtime,Integration Runtime & Connections,foundation_partial,Gmail; Chat; WhatsApp; Banxico; catalog connectors,11,tenant_connection+least_privilege+no_business_authority,P2-S4,provider-service.html,shared_surface,P2-S4 maps integration-runtime to provider-service.html under the approved Platform55 shell migration design
Platform,connection-setup,Connection Setup,foundation_partial,gmail-oauth-callback; managed connector configuration,11,allowlisted_callback+tenant+test_receipt,P2-S4,provider-onboarding.html,shared_surface,P2-S4 maps connection-setup to provider-onboarding.html under the approved Platform55 shell migration design
Platform,connector-marketplace,Connector Marketplace,prototype_only,No marketplace implementation found,11,certification+version+human_publish,P2-S4,provider-onboarding.html,reference_only,P2 does not create a connector marketplace
Platform,connector-developer,Connector Developer,prototype_only,No connector SDK or submission workbench found,11,sandbox+sanitized_fixture+review,P2-S4,provider-onboarding.html,reference_only,P2 does not create a connector SDK workspace
Platform,integration-ops,Integration Ops,foundation_partial,provider logs and integration smoke tooling,11,delivery_trace+bounded_retry+no_duplicate,P2-S4,provider-service.html,shared_surface,P2-S4 maps integration-ops to provider-service.html under the approved Platform55 shell migration design
Platform,event-subscriptions,Event Subscriptions,foundation_partial,webhook handlers exist without subscription governance,11,signature+tenant+delivery_receipt,P2-S4,provider-service.html,shared_surface,P2-S4 maps event-subscriptions to provider-service.html under the approved Platform55 shell migration design
Platform,api-consumer,API Consumer Portal,prototype_only,No consumer portal found,12,scoped_credentials+docs+quota,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#api-consumer
Platform,machine-identity,Machine Identity,prototype_only,No machine identity lifecycle center found,12,least_privilege+expiry+rotation,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#machine-identity
Platform,api-gateway,API Gateway,foundation_partial,Supabase Edge gateway provides runtime ingress,12,tenant+rate_limit+policy_trace,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#api-gateway
Platform,api-observability,API Observability,foundation_partial,Supabase logs without Platform 55 consumer-health surface,12,live_metrics+cost_boundary+tenant,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#api-observability
Platform,data-export,Data Export & Egress,prototype_only,No controlled egress center found,13,approval+scope+package_receipt+delivery_separation,P2-S2,upload-history.html,reference_only,P2 preserves existing exports and adds no egress workflow
Platform,regionalization,Regionalization & Residency,prototype_only,Single production region; no residency control plane,13,residency_policy+evidence+tenant,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#regionalization
Platform,localization-governance,Localization & Locale,prototype_only,No locale governance surface found,13,currency+units+timezone+language_contract,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#localization-governance
Platform,operator-console,Operator Console,prototype_only,No safe internal operator console found,13,read_only_default+expiring_elevation+no_impersonation,P2-S5,settings.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#operator-console
Platform,readiness-certification,Readiness & Certification,foundation_partial,Phase 0.2E is one narrow readiness gate,13,fresh_live_evidence+independent_certifier+no_auto_certify,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#readiness-certification
Commercial,shippers,Shippers,live_partial,shipper-crm.html; shipper-profile.html; directory/profile APIs,5,tenant+auth+e2e,P2-S4,shipper-crm.html,implement,P2-S4 maps shippers to shipper-crm.html under the approved Platform55 shell migration design
Commercial,growth,Growth,live_partial,growth-hacking.html and growth service,5,no_auto_outreach+human_approval,P2-S5,growth-hacking.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#growth
Commercial,opportunities,Opportunities,foundation_partial,growth and customer-RFI flows without unified opportunity object,5,tenant+reviewed_stage+no_auto_commitment,P2-S5,growth-hacking.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#opportunities
Commercial,rfx-projects,RFx Projects,live_partial,rfx-events.html; rfx-process.html; RFx services,4,tenant+auth+e2e+receipt,P2-S3,rfx-events.html,implement,P2-S3 maps rfx-projects to rfx-events.html under the approved Platform55 shell migration design
Commercial,customer-progress,Customer Progress,foundation_partial,customer-rfi.html and customer RFI service,5,tenant+evidence+no_auto_commitment,P2-S3,outreach.html,shared_surface,P2-S3 maps customer-progress to outreach.html under the approved Platform55 shell migration design
Procurement,rate-intake,Rate Intake,live_partial,upload-center.html; upload-history.html; create-raw-upload; interpret-upload,3,source_preserved+staging_only+human_approval,P2-S2,upload-center.html,implement,P2-S2 maps rate-intake to upload-center.html under the approved Platform55 shell migration design
Procurement,review-queue,Review Queue,live_partial,staging-review.html and staging service,3,human_approval+no_auto_production_insert,P2-S2,staging-review.html,implement,P2-S2 maps review-queue to staging-review.html under the approved Platform55 shell migration design
Procurement,approved-rates,Approved Rates,live_partial,rateware.html; ratebook.html; rateware-api,3,approved_only+lineage+tenant,P2-S2,rateware.html,implement,P2-S2 maps approved-rates to rateware.html under the approved Platform55 shell migration design
Procurement,carriers,Carriers,live_partial,vendors.html; carrier-profile.html; carrier-profile-api,5,tenant+dedupe+reviewed_identity,P2-S3,vendors.html,implement,P2-S3 maps carriers to vendors.html under the approved Platform55 shell migration design
Procurement,bid-rooms,Bid Room,live_partial,rfx-bid.html; bid-room-board.html; rfx-bid-api,4,concurrency+idempotency+no_auto_award,P2-S3,rfx-events.html,implement,P2-S3 maps bid-rooms to rfx-events.html under the approved Platform55 shell migration design
Procurement,awards,Awards,foundation_partial,award behavior embedded in RFx/Bid Room flows,4,human_award+receipt+no_dispatch,P2-S3,rfx-process.html,implement,P2-S3 maps awards to rfx-process.html under the approved Platform55 shell migration design
Procurement,rate-matrix,Rate Matrix,live_partial,rateware.html and Ratebook filtering,4,approved_rates_only+currency_comparability,P2-S3,ratebook.html,implement,P2-S3 maps rate-matrix to ratebook.html under the approved Platform55 shell migration design
Operations,control-tower,Control Tower,prototype_only,No live control-tower surface found,6,Fleet_Rocket_observation_only+no_direct_write,P2-S3,rfx-process.html,reference_only,P2 does not create an operational control tower
Operations,shipments,Shipments,prototype_only,No Rateware shipment SOR implementation found,6,Fleet_Rocket_is_SOR+typed_handoff,P2-S3,rfx-process.html,reference_only,P2 does not create shipment execution
Operations,dispatch,Dispatch,prototype_only,No authorized dispatch runtime found,6,no_auto_dispatch+Fleet_Rocket_handoff,P2-S3,rfx-process.html,reference_only,P2 never dispatches freight
Operations,exceptions,Exceptions,prototype_only,No unified operational exception center found,6,reviewed_case+typed_handoff,P2-S3,rfx-process.html,reference_only,P2 does not create operations exception management
Operations,tracking,Tracking,prototype_only,No governed live tracking surface found,6,provider_observation+tenant+no_execution_authority,P2-S3,rfx-process.html,reference_only,P2 does not create shipment tracking
Operations,agreements,CSA/SLA & Agreements,prototype_only,No governed agreement lifecycle found,4,human_approval+versioned_contract,P2-S3,rfx-process.html,shared_surface,P2-S3 maps agreements to rfx-process.html under the approved Platform55 shell migration design
Finance,billing,Billing,prototype_only,No Rateware billing SOR implementation found,7,MARKSMAN_is_SOR+typed_handoff,P2-S5,business-intelligence.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#billing
Finance,carrierpay,Carrier Pay,prototype_only,No carrier-pay runtime found,7,no_auto_payment+MARKSMAN_handoff,P2-S5,business-intelligence.html,reference_only,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#carrierpay
Finance,business-pnl,Business P&L,foundation_partial,business-intelligence aggregates without accounting authority,7,MARKSMAN_actuals+currency+as_of,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#business-pnl
Finance,reconciliation,Reconciliation,prototype_only,No finance reconciliation workflow found,7,human_approval+MARKSMAN_boundary+receipt,P2-S2,rateware.html,shared_surface,P2-S2 maps reconciliation to rateware.html under the approved Platform55 shell migration design
Finance,rules-tariffs,Rules & Tariffs,foundation_partial,catalog and rate validation rules,7,versioned_rules+simulation+approval,P2-S3,ratebook.html,shared_surface,P2-S3 maps rules-tariffs to ratebook.html under the approved Platform55 shell migration design
Intelligence,network-analysis,Network Analysis,live_partial,business-intelligence.html and BI service,8,shared_context+currency+as_of+e2e,P2-S5,business-intelligence.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#network-analysis
Intelligence,carrier-intelligence,Carrier Intelligence,foundation_partial,carrier records and BI metrics,8,tenant+metric_lineage+as_of,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#carrier-intelligence
Intelligence,shipper-intelligence,Shipper Intelligence,foundation_partial,shipper records and BI metrics,8,tenant+metric_lineage+as_of,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#shipper-intelligence
Intelligence,market-benchmarks,Market Benchmarks,foundation_partial,Rateware and BI lane/rate analysis,8,comparable_currency+sample_quality+as_of,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#market-benchmarks
Intelligence,reports,Reports,foundation_partial,business-intelligence reporting capabilities,8,tenant+export_control+as_of,P2-S5,business-intelligence.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#reports
Administration,users-roles,Users & Roles,foundation_partial,Kinde authentication and Phase 0.2 tenant identity,9,auth_not_authority+SoD+session_lifecycle,P2-S5,settings.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#users-roles
Administration,legal-entities,Legal Entities,foundation_partial,organizations and workspace registry,9,canonical_entity+reviewed_mapping,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#legal-entities
Administration,integrations,Integrations,foundation_partial,Gmail; Chat; WhatsApp; Banxico; catalog sync,9,tenant_connection+least_privilege+no_auto_action,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#integrations
Administration,notification-rules,Notification Rules,foundation_partial,connector configuration without unified rule center,9,draft_only+explicit_send_authorization,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#notification-rules
Administration,learning-rules,Learning Rules,foundation_partial,interpretation memory without governed learning-rule UI,9,proposal_only+human_publish+version,P2-S5,interpretation-memory.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#learning-rules
Administration,catalog,Catalog,live_partial,catalog-workbench.html; catalog service; sync-rateware-catalog,9,dry_run+review+version+rollback,P2-S5,catalog-workbench.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#catalog
Administration,tenant-settings,Tenant Settings,foundation_partial,settings.html; workspace registry; Phase 0.2 mappings,9,tenant_isolation+reviewed_change+receipt,P2-S5,settings.html,implement,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#tenant-settings
